transaction_id,card_id,transaction_date,amount,merchant,category_id,transaction_type,description
1001,5,15-10-2023,196.81,Smith-Austin,4,Credit,Where half yourself argue member oil get early.
1002,5,17-10-2023,463.65,Davis LLC,9,Credit,Color recognize guess according production.
1003,4,23-08-2023,201.09,Kim-Lewis,10,Credit,For girl cost black she.
1004,6,23-01-2023,381.06,"Williams, Wilcox and Christensen",6,Debit,Section why expect.
1005,1,23-12-2022,296.84,Rodriguez-Hudson,5,Credit,Teach difficult treat business not doctor feeling.
1006,1,19-07-2023,251.36,Williams LLC,6,Debit,Pattern long choice.
1007,5,20-11-2023,56.52,Thomas Inc,4,Debit,Father sing try however successful beautiful manager.
1008,4,12-04-2023,431.52,Carter-Bishop,4,Credit,Fight drop something stock follow senior.
1009,1,07-01-2023,6.85,West PLC,4,Debit,Consumer recognize official play since tell issue trial.
1010,3,11-05-2023,375.13,"Gallegos, Johnson and Jenkins",1,Credit,Middle speech girl tough.
1011,5,06-12-2022,200.47,Walsh Group,3,Debit,Soon trial pressure result a point.
1012,2,11-10-2023,423.08,"Riley, Wood and Cunningham",9,Debit,Political respond put with popular black.
1013,5,28-02-2023,497.87,"Gillespie, Rivas and Graham",1,Credit,Away through kind song.
1014,5,15-10-2023,391.74,Morton Ltd,6,Credit,Hit feel decide Mrs study training until.
1015,6,10-02-2023,282.88,"Henderson, Burns and Rivera",5,Credit,Them accept position serve purpose huge young carry.
1016,3,08-05-2023,58.13,Richards and Sons,8,Debit,You bag trouble manager.
1017,5,02-06-2023,49.18,Henderson PLC,8,Credit,Letter shoulder protect party responsibility know power.
1018,1,03-04-2023,390.51,Bright Ltd,7,Credit,Believe prevent change.
1019,5,01-06-2023,328.35,Richard-Hall,10,Debit,Group week seven appear see others also wish.
1020,1,11-10-2023,377.58,"Williams, Jenkins and Cross",3,Debit,Apply employee fly ground.
1021,1,11-02-2023,245.75,Schwartz and Sons,6,Credit,Remember against heart single cup place.
1022,4,09-10-2023,181.81,"Farrell, Flynn and Ramirez",10,Credit,Question clear as lawyer fill reflect.
1023,4,15-09-2023,82.46,Duke-Brown,1,Debit,Start buy vote amount skin home interest.
1024,3,06-08-2023,206.11,Greer Group,8,Debit,Control see also ask dark.
1025,3,09-07-2023,352.79,Williams Inc,5,Debit,Central action if population pick treat bed.
1026,3,28-01-2023,222.52,Robinson-Mills,4,Credit,Magazine final need of level fear.
1027,4,03-06-2023,29.69,Richardson PLC,3,Credit,Bring rich pay leave suffer.
1028,2,03-10-2023,487.34,Perry PLC,9,Debit,Item win many fly star plan hair.
1029,2,15-02-2023,300.2,Palmer PLC,10,Debit,Remember anything economic focus dog quality positive.
1030,3,17-07-2023,220.12,"Walsh, Serrano and Carpenter",4,Credit,Fear and every director.
1031,4,17-10-2023,499.66,Dean-Mckenzie,1,Debit,Under from poor child provide.
1032,2,02-11-2023,151.42,Barber-Powell,5,Debit,Third executive rather money evening nearly stock.
1033,5,12-04-2023,350.05,"Johnson, Bauer and Morgan",8,Debit,Call can fire candidate people leave result allow.
1034,5,28-08-2023,199.03,Campbell PLC,8,Debit,Executive hospital seat story song national brother.
1035,5,14-05-2023,216.65,"Newman, Castillo and Hill",10,Credit,Hotel store quickly.
1036,1,10-06-2023,411.52,Torres Ltd,4,Debit,Think win often return notice bag contain.
1037,5,18-05-2023,400.23,"Murphy, Olson and Williams",1,Debit,Include realize vote common second.
1038,3,19-02-2023,74.88,"Smith, Gomez and Webb",7,Debit,Short indeed student see.
1039,4,15-12-2022,265.4,"Vargas, Bautista and James",6,Debit,Past continue own.
1040,2,06-06-2023,425.69,"Prince, Salazar and Smith",9,Debit,Phone anyone enjoy trial protect your travel.
1041,4,31-12-2022,483.04,Williams-Harris,5,Debit,Direction so soon which.
1042,6,23-09-2023,427.71,Thomas-Ford,8,Debit,Stock gun care second consumer.
1043,3,04-02-2023,65.49,Kennedy-Whitaker,5,Debit,Most break century have wish appear.
1044,2,31-12-2022,72.89,Wright-Craig,6,Debit,Follow involve body green response.
1045,3,30-05-2023,269.59,Phillips-Moore,7,Credit,Find young else themselves tree there.
1046,4,13-04-2023,50.62,Sims-Branch,8,Credit,Energy stay act fight.
1047,2,06-01-2023,472.74,Klein Inc,4,Debit,Believe number it they actually.
1048,4,04-06-2023,425.88,"Fisher, Ball and Hicks",9,Credit,Many public since bar friend.
1049,4,26-10-2023,249.69,"Martinez, Fleming and Stephens",1,Credit,Dream type clearly movement true.
1050,2,19-03-2023,143.7,Perez Group,9,Debit,Suffer still save.
1051,5,08-03-2023,65.84,Richardson Ltd,6,Debit,Water wall smile itself cell attorney become successful.
1052,3,31-08-2023,421.93,Logan Group,1,Credit,Heart condition game.
1053,3,13-03-2023,429.27,Morgan PLC,10,Credit,College more themselves pattern college catch people movie.
1054,3,19-03-2023,480.76,"Fowler, Wheeler and Jordan",5,Credit,Clearly yard phone particular top me campaign.
1055,2,20-10-2023,430.92,"Hart, Foster and Arnold",6,Credit,Country hold send choice indeed consider experience bill.
1056,1,05-12-2022,440.17,"Good, Morgan and Harrison",2,Debit,Environmental boy address responsibility.
1057,4,22-01-2023,279.59,"Berger, Thompson and Adams",3,Credit,Visit door need structure.
1058,2,31-01-2023,401.33,Young-Castro,9,Debit,Nature for wind themselves fast they.
1059,4,24-10-2023,104.17,Thompson-Morgan,5,Credit,Turn if continue.
1060,2,10-04-2023,208.48,Gardner Ltd,3,Debit,Offer line next reflect.
1061,3,01-11-2023,298.29,Romero Group,7,Debit,Shake find father black.
1062,4,07-01-2023,343.75,"Stephens, Cook and Sanchez",5,Credit,Task somebody include never learn goal consider.
1063,1,07-07-2023,6.21,"Zimmerman, Gardner and Smith",3,Credit,Quickly drop yourself hear house determine.
1064,6,11-08-2023,306.8,"Roach, Fox and Becker",7,Credit,Name ask teach behind apply record true upon.
1065,4,05-07-2023,99.68,"Dixon, Smith and Gonzales",7,Debit,Policy everybody if serve story already compare.
1066,5,08-08-2023,14.99,Hill Inc,2,Debit,Leg of finish interview why impact.
1067,5,08-09-2023,76.5,Moreno LLC,7,Debit,Shoulder no girl up attention.
1068,1,30-11-2022,53.85,"Watkins, Nguyen and Weiss",6,Credit,Drug last player religious well responsibility wife.
1069,2,09-04-2023,497.41,"Henderson, White and Arnold",8,Credit,Charge case individual lawyer.
1070,4,23-12-2022,368.05,"Lee, Simmons and Paul",8,Credit,Effect real hit decade need against.
1071,1,13-02-2023,216.93,"Horn, Ware and Harris",3,Credit,Once method north president purpose hospital floor treatment.
1072,3,15-05-2023,55.73,Schmitt Group,1,Debit,Take here consumer.
1073,1,10-12-2022,368.04,Mendoza PLC,8,Debit,Window director reality minute.
1074,4,01-08-2023,385.88,Gonzales PLC,2,Credit,Particular PM add consumer.
1075,6,08-12-2022,96.98,Chen-Knapp,7,Debit,Shake foot drive range worker region television mouth.
1076,6,17-04-2023,132.61,Ramos-Day,7,Debit,Fall media culture hotel ask develop.
1077,6,04-04-2023,231.57,"Smith, Anderson and White",5,Credit,Century crime water open attention laugh.
1078,3,21-03-2023,214.46,"Davenport, Hill and Rojas",9,Debit,Quickly morning really morning.
1079,3,02-07-2023,265.11,Escobar-Cherry,9,Debit,Allow southern leave radio magazine suddenly culture.
1080,6,11-12-2022,293.81,Clark Inc,3,Debit,Series may able method.
1081,3,17-02-2023,459.7,"Perry, Contreras and Rivera",5,Debit,Whatever fill movement short amount rich.
1082,4,25-05-2023,108.43,Diaz PLC,6,Debit,Buy role series pull short sense key.
1083,1,30-11-2023,239.43,Hampton-Lee,10,Debit,Outside difference second argue phone want learn.
1084,2,24-01-2023,129.73,Gonzalez and Sons,2,Credit,Thing home white Mrs how travel.
1085,5,24-01-2023,276.77,"Mckinney, Brown and Hawkins",2,Credit,Early thousand student Mrs.
1086,1,12-11-2023,8.46,Cox LLC,2,Credit,Build yes debate rest generation idea.
1087,1,04-04-2023,352.82,Heath-Khan,8,Credit,Great accept your course.
1088,6,15-01-2023,64.19,"Church, Haney and Chambers",10,Debit,Fill safe address good sit already process.
1089,1,05-06-2023,437.29,Armstrong-Simmons,5,Debit,Film someone know actually recognize war.
1090,1,10-03-2023,176.13,Nelson PLC,9,Credit,Why move instead trip candidate bit.
1091,6,11-11-2023,360.89,"Roth, Porter and Daniels",5,Credit,Weight organization agree purpose center pick.
1092,4,19-12-2022,90.88,Ward-Williams,10,Debit,Fine near nor return perhaps half.
1093,4,05-11-2023,7.35,Delgado-Martin,5,Debit,Herself study few television second Mrs anything.
1094,2,17-07-2023,12.23,Garza-Ross,2,Debit,Ask several father game.
1095,3,08-01-2023,123.73,Ferguson Ltd,6,Debit,Whom pick owner they time while support.
1096,4,26-05-2023,33.42,Cooper-Mills,4,Credit,Yard natural news thank.
1097,3,18-11-2023,61.26,"Moore, Smith and Romero",5,Debit,Control national pay deep.
1098,6,22-08-2023,458.7,"Green, Davis and Smith",3,Credit,Radio end answer body edge.
1099,2,08-10-2023,481.12,"Martin, Martinez and Curry",10,Debit,Be what mean.
1100,3,04-08-2023,84.95,Peterson-Foster,8,Debit,Situation level stay maintain feel statement.
1101,1,22-03-2023,377.46,"Flores, Munoz and Murphy",10,Credit,Level best perhaps summer notice individual agree.
1102,1,09-06-2023,174.63,Stafford LLC,3,Debit,Sense yard challenge show election painting.
1103,4,19-08-2023,468.44,Arnold LLC,8,Credit,Sing turn forward.
1104,3,03-10-2023,307.41,"Watts, Brown and Flores",1,Credit,Lead piece home late executive manager.
1105,6,25-05-2023,346.05,Costa-Booth,8,Debit,Program suggest hand price cold.
1106,3,07-11-2023,32.1,Perez-Ramirez,5,Credit,Environmental realize record crime fight party.
1107,4,04-07-2023,289.87,"Johnson, Wright and Cameron",3,Credit,Move economy he move sure kid.
1108,4,07-02-2023,61.55,Vaughan-Graham,2,Credit,Way simply suffer.
1109,4,23-12-2022,404.25,Berg-Manning,4,Debit,Eat boy third popular pattern nice detail.
1110,1,01-07-2023,151.79,Gonzalez-Krueger,1,Credit,Challenge natural bill building medical use suffer.
1111,5,03-02-2023,277.71,"Le, Jones and Ramos",2,Debit,Space coach trouble not.
1112,1,24-06-2023,300.37,Brown Ltd,2,Debit,Natural red second area you such.
1113,6,26-12-2022,187.25,"Woods, Lopez and Herring",5,Credit,Realize visit color various process.
1114,3,15-08-2023,108.49,Lee and Sons,3,Debit,He turn face score cup.
1115,4,21-10-2023,499.75,Hall-Jones,7,Debit,Question quickly claim action doctor season.
1116,1,25-04-2023,471.22,Mccann-Ortiz,5,Credit,Career yard during.
1117,6,27-04-2023,233.55,"Luna, Hudson and Franklin",6,Debit,Ahead nor training federal.
1118,2,07-08-2023,345.88,Robertson Inc,5,Debit,Car sell instead me.
1119,4,09-12-2022,336.49,"Leonard, Welch and Moran",10,Debit,Behavior once usually party.
1120,3,11-02-2023,216.84,Lee-Phillips,2,Debit,And ready television become play heart company.
1121,5,27-08-2023,449.46,Smith LLC,6,Debit,Success fire same line case firm.
1122,5,04-06-2023,166.95,Thomas LLC,6,Debit,Conference service explain also adult leg forget.
1123,5,04-08-2023,87.99,Porter-Mejia,1,Debit,Understand simple different.
1124,5,19-07-2023,28.72,"Pena, Snyder and Hansen",8,Debit,Him organization dark everybody TV different.
1125,5,17-02-2023,47.89,Thomas-May,4,Credit,Result guess watch call claim.
1126,3,21-01-2023,50.98,Owens Ltd,1,Credit,Risk skin difficult fire.
1127,1,07-08-2023,456.41,Davis-Rice,9,Debit,Prevent spend main space stock heavy.
1128,6,01-05-2023,482.16,Coleman-Bates,7,Credit,Decide either early third party attack.
1129,6,03-01-2023,366.23,"Oconnell, Butler and Thornton",6,Credit,Investment performance chance heart investment significant court body.
1130,2,05-12-2022,350.65,Robertson-Murphy,7,Credit,It health cut in listen character.
1131,5,14-01-2023,167.63,"Jackson, Stone and Jones",9,Debit,Ground sell find apply above.
1132,1,13-07-2023,269.95,"Brewer, Hall and Alexander",4,Debit,Issue mission serious themselves quality never.
1133,6,21-06-2023,176.28,Cummings LLC,8,Credit,Participant yourself ball budget part.
1134,6,21-06-2023,63.92,Walton-Johnson,4,Credit,Point daughter oil thought ground particular in physical.
1135,3,20-02-2023,36.38,Weaver PLC,9,Debit,Size send over themselves.
1136,5,16-07-2023,114.15,"Arias, Ross and Jackson",7,Credit,Goal pick back bag democratic.
1137,1,25-01-2023,413.21,Wright Ltd,6,Credit,Prove right stop option street beyond smile important.
1138,1,19-07-2023,439.14,Sullivan Ltd,5,Debit,Worry development reason while put arrive coach.
1139,6,28-09-2023,54.68,Parks Group,3,Debit,Form city response south media upon.
1140,4,10-05-2023,189.4,Haney-Baker,2,Debit,Behavior factor political something language still.
1141,3,22-11-2023,134.95,Long PLC,10,Credit,Case society also group stop building forget.
1142,1,25-09-2023,252.69,Chung Group,2,Credit,Social report Democrat suddenly debate.
1143,4,26-10-2023,221.46,Quinn Group,10,Debit,Difference network issue scene.
1144,2,11-11-2023,440.94,Murphy-Powell,10,Credit,There this bad argue as.
1145,6,27-01-2023,40.55,"Howell, Garcia and Medina",7,Credit,Close mind skill not let office.
1146,1,02-07-2023,460.74,Watts-Dixon,9,Credit,Fight wall alone plant attorney land.
1147,2,18-09-2023,405.15,"Rivera, Cohen and Walter",2,Debit,Sometimes participant apply draw.
1148,4,20-06-2023,413.82,Boyle and Sons,10,Credit,Along remain stay seem must area.
1149,6,11-04-2023,472.21,"Lawson, Martinez and Palmer",7,Credit,Unit product cause learn this red clear.
1150,4,01-06-2023,386.96,"Day, Wright and Browning",3,Credit,Interesting husband would service music difference official.
1151,4,04-04-2023,479.09,Clark Inc,9,Credit,Story heart one small seven their shake.
1152,6,04-07-2023,258.43,Moore and Sons,9,Debit,Recent discover sister almost ever reach item.
1153,4,03-12-2022,384.89,Mueller-Daniel,6,Credit,Test late economic around.
1154,5,11-03-2023,348.54,"Parks, Farley and Foster",5,Credit,Be good Mr make see American others.
1155,6,19-11-2023,81.65,Rogers-Wood,9,Credit,Cause federal at Mrs establish growth will.
1156,3,16-06-2023,302.65,Barrett Ltd,4,Credit,Time black it energy onto.
1157,3,24-10-2023,357.35,Mills Group,2,Credit,Adult election room personal art coach tonight ahead.
1158,2,09-09-2023,470.35,Ross-Smith,10,Debit,Describe game art democratic.
1159,3,23-07-2023,333.8,"Kane, Lowe and Levine",8,Credit,Successful goal middle economy bad.
1160,5,27-02-2023,112.19,Nelson-Watts,7,Credit,Smile score provide reduce.
1161,5,01-08-2023,200.85,"Gonzalez, Reynolds and Tucker",9,Debit,Door subject young rather.
1162,3,14-09-2023,28.16,"Barnes, Dyer and Phelps",2,Credit,Nice plan once past and.
1163,5,16-10-2023,247.2,"Rios, Bowers and Mays",10,Debit,Picture hotel back if.
1164,6,28-05-2023,12.08,"Rodriguez, Wright and Watson",6,Credit,Respond two window partner own sea land something.
1165,3,20-07-2023,206.21,"Allen, Schultz and Johnson",7,Credit,Answer campaign doctor woman.
1166,2,12-05-2023,466.63,"Mclaughlin, Bishop and Mcfarland",5,Credit,Crime painting through really history turn game.
1167,6,23-01-2023,268.55,Lambert-Douglas,1,Debit,Always show each inside.
1168,3,09-06-2023,335.05,Lewis Inc,3,Credit,Herself man technology ten address while student.
1169,6,17-01-2023,458.25,Rodriguez Inc,1,Debit,Ball low candidate everybody action either receive.
1170,5,07-01-2023,82.43,"Smith, Lara and Wright",4,Credit,Guy spring remember manager many.
1171,2,17-06-2023,376.61,Riley and Sons,3,Debit,Sure people since election.
1172,2,25-09-2023,34.25,Bailey Inc,8,Debit,Company center happy change later away.
1173,3,18-09-2023,292.1,"Medina, Fitzpatrick and Johnson",2,Credit,Fear product interest son.
1174,6,01-06-2023,177.68,Butler Group,3,Debit,Minute forward machine build garden look somebody.
1175,1,24-08-2023,92.43,Hernandez Ltd,5,Debit,The pressure door experience in major.
1176,3,29-03-2023,254.36,Rose Inc,7,Credit,Yard financial morning kind low government name.
1177,4,23-09-2023,496.14,"Johnson, Smith and Williamson",1,Credit,Throw which after growth dog front loss brother.
1178,2,08-04-2023,219.01,Ramsey and Sons,1,Credit,Language onto like responsibility voice hit performance.
1179,1,08-11-2023,470.8,Gomez-Thompson,9,Debit,Population itself sea within.
1180,4,01-01-2023,309.67,Hurst LLC,7,Credit,Kitchen conference pass center vote sport.
1181,4,16-11-2023,265.65,Hernandez Group,4,Debit,Record important then task very certainly.
1182,6,29-01-2023,315.64,Fry Group,8,Credit,Suddenly describe response best.
1183,5,21-09-2023,344.5,"Williams, Davis and Rogers",5,Credit,Cultural far him one professor.
1184,1,20-02-2023,82.92,Brock PLC,5,Debit,Crime cold Mrs speak nature despite career.
1185,6,20-08-2023,54.46,Brooks Inc,8,Debit,Somebody ready marriage.
1186,6,24-11-2023,484.08,"Cochran, Allen and Baker",4,Credit,Expect quality kind financial save know.
1187,3,25-06-2023,73.54,"Martinez, Dudley and Simpson",3,Debit,Mind great pull ten board.
1188,2,19-06-2023,367.89,Daniels-Allen,7,Debit,Industry pass player dinner specific can.
1189,5,30-11-2023,8.57,Mills Inc,10,Credit,Serious career thought on exactly director.
1190,6,14-02-2023,381.11,"Martin, Webb and Blankenship",10,Credit,Next speak great age he.
1191,5,24-07-2023,250.61,Young-Hanna,2,Credit,Soldier second start bag degree can.
1192,6,27-05-2023,325.85,Boyle-Zimmerman,9,Credit,Effect general interview work any.
1193,6,13-10-2023,324.6,"Diaz, Hodges and Pacheco",5,Debit,Shake amount his involve.
1194,6,30-01-2023,48.67,Moreno Inc,1,Debit,Stuff impact property important.
1195,1,11-11-2023,465.86,Smith Group,7,Credit,Owner result industry structure.
1196,3,28-10-2023,202.06,"Moreno, Lin and Lewis",10,Credit,Want individual future agency.
1197,1,26-06-2023,38.29,Mullins-Hoover,8,Debit,Security former surface.
1198,3,01-02-2023,61.29,Webster-Thomas,9,Credit,Detail federal foot join nearly day image.
1199,1,05-03-2023,51.08,Bell-Lopez,3,Debit,Away wish else we yard outside issue.
1200,1,30-10-2023,185.65,Thomas and Sons,10,Credit,Yes ever prove expect trial talk management.
1201,3,10-11-2023,263.9,"Harris, Jones and Foster",5,Credit,Area machine loss fly turn one sort.
1202,5,09-12-2022,145.45,Washington LLC,6,Debit,Step seek right decision many only expert.
1203,5,24-03-2023,70.98,Taylor and Sons,6,Credit,Statement while night often live project town.
1204,6,08-06-2023,152.07,"Sanchez, Hicks and Bell",10,Debit,Best foot identify name want know likely.
1205,5,29-04-2023,17.13,Clayton Ltd,3,Debit,Movement good thing mention speech move test.
1206,1,09-04-2023,368.09,Aguilar-Martin,3,Credit,Still picture south environmental deal physical.
1207,2,06-07-2023,222.51,Wallace-Klein,9,Credit,Enjoy operation view under somebody check.
1208,5,30-10-2023,115.27,"Coleman, Herrera and Riley",5,Debit,At good record process whatever.
1209,3,15-06-2023,427.64,Atkins LLC,5,Debit,Modern despite where herself ready.
1210,6,13-04-2023,418.45,"Zimmerman, Stephenson and Spencer",9,Credit,Still center kid.
1211,2,12-03-2023,442.34,Johnson-Johnston,2,Debit,Take rate capital bring watch drug glass.
1212,3,18-10-2023,440.23,Ayala Inc,5,Credit,Somebody see others less administration who.
1213,5,22-06-2023,179.59,"Kennedy, Gray and Browning",5,Credit,Worry present thing network tough particularly close.
1214,2,05-03-2023,227.83,"Smith, Nixon and Russo",8,Debit,Hundred less foot machine.
1215,3,30-12-2022,317.06,Miller Group,7,Credit,Concern speak win himself individual.
1216,6,02-05-2023,451.87,"Fox, Russell and Hudson",5,Debit,Population high quickly house foreign value.
1217,2,15-11-2023,96.38,Watson-Jones,8,Credit,Main blue just threat note east my.
1218,5,15-03-2023,261.41,Miller-Ware,8,Credit,Eight eat wall herself fight rise.
1219,6,12-06-2023,19.23,Taylor Group,6,Debit,Stock full most account reason each discuss.
1220,4,03-02-2023,44.32,Woodward-Brown,6,Debit,Beat red find rise star main concern.
1221,6,14-02-2023,78.87,Scott-Lowe,9,Debit,She drop far.
1222,6,19-12-2022,287.37,Johnson-Garrett,6,Credit,Maybe matter beyond interview mention paper modern.
1223,1,28-12-2022,460.45,Johnson Group,9,Credit,Rate run animal hold compare half.
1224,6,01-05-2023,489.59,Landry Group,9,Credit,Operation blood research itself car grow fill capital.
1225,5,24-05-2023,365.86,Arroyo-Downs,9,Credit,Process hear radio human room.
1226,5,02-06-2023,116.31,"Johns, Hayes and Kelly",6,Debit,Politics rock employee truth blood itself.
1227,3,25-12-2022,11.42,Church-Marquez,6,Debit,Two common into cultural piece.
1228,5,16-11-2023,5.65,"Haley, Miles and Morgan",8,Debit,Daughter authority whether hospital eight so surface worker.
1229,6,28-07-2023,161.91,Anderson-Phelps,4,Debit,Make themselves effort.
1230,2,06-02-2023,42.14,Mata PLC,2,Credit,Yet shoulder play offer.
1231,6,17-05-2023,47.62,Shelton-Martin,2,Credit,Wide TV clearly only speak subject human.
1232,1,08-10-2023,171.15,"Cooper, Johnson and Holmes",7,Credit,End organization arrive expect up woman best.
1233,2,12-07-2023,380.2,"Haley, Brown and Fletcher",6,Credit,Turn leg strong agreement doctor close stage green.
1234,5,28-05-2023,126.64,Fitzpatrick LLC,10,Credit,Truth owner all with seven stock value.
1235,6,13-03-2023,318.8,Hall Inc,9,Debit,Wait born forget now some occur.
1236,4,29-07-2023,495.5,Pearson-Vaughn,8,Debit,Consider respond control skin reason word question prevent.
1237,5,10-05-2023,87.37,Proctor Inc,5,Debit,Girl seat know include employee exist.
1238,1,10-03-2023,428.66,Cabrera-Silva,3,Credit,Artist continue system card pay prevent in.
1239,3,11-12-2022,305.09,"Rice, Lewis and Johnson",7,Debit,Ability certainly would reflect.
1240,5,05-02-2023,119.24,Watkins PLC,4,Credit,We whatever game loss line.
1241,6,17-03-2023,422.49,"Rodriguez, Campbell and Montgomery",4,Credit,South create real son a.
1242,6,21-07-2023,57.49,Garcia and Sons,1,Debit,Act travel matter beat statement edge.
1243,3,02-03-2023,354.02,Jackson PLC,4,Credit,Together later claim usually purpose and decade collection.
1244,2,12-07-2023,165.7,Walker PLC,5,Credit,Everybody power law deep look consumer.
1245,6,24-08-2023,32.72,"Ray, Reyes and Turner",10,Credit,Democrat unit live appear behavior hear.
1246,6,02-02-2023,356.92,"Hernandez, Deleon and Coleman",10,Debit,Series manage learn majority leader.
1247,4,11-07-2023,253.88,Chandler-Wall,2,Credit,Kitchen dream mention morning toward toward some church.
